Powered by SCRIER.org.  If you enjoy saving lives, please tip gofundme.com/f/scrier



Starting Run:
USA Baseline Scenario:  No Lockdowns/No Self-Isolation, B- 0.42
[0] Mar 13:   actual: 21,957,    official: 2,195,   infectious: 12,326,   dead: 4 

[1] Mar 14:   actual: 28,818,    official: 2,881,   infectious: 16,338,   dead: 9 

[2] Mar 15:   actual: 37,787,    official: 3,777,   infectious: 21,357,   dead: 14 

[3] Mar 16:   actual: 49,612,    official: 4,959,   infectious: 28,159,   dead: 46 

[4] Mar 17:   actual: 65,173,    official: 6,515,   infectious: 37,058,   dead: 74 

[5] Mar 18:   actual: 85,646,    official: 8,562,   infectious: 48,759,   dead: 110 

[6] Mar 19:   actual: 112,465,    official: 11,243,   infectious: 63,876,   dead: 144 

[7] Mar 20:   actual: 147,704,    official: 14,766,   infectious: 83,941,   dead: 195 

[8] Mar 21:   actual: 193,984,    official: 19,394,   infectious: 110,255,   dead: 207 

[9] Mar 22:   actual: 254,827,    official: 25,478,   infectious: 144,976,   dead: 211 

[10] Mar 23:   actual: 334,704,    official: 33,465,   infectious: 190,377,   dead: 216 

[11] Mar 24:   actual: 439,606,    official: 43,955,   infectious: 250,101,   dead: 221 

[12] Mar 25:   actual: 577,334,    official: 57,727,   infectious: 328,501,   dead: 253 

[13] Mar 26:   actual: 757,796,    official: 75,773,   infectious: 430,667,   dead: 281 

[14] Mar 27:   actual: 994,619,    official: 99,455,   infectious: 565,579,   dead: 317 

[15] Mar 28:   actual: 1,305,171,    official: 130,510,   infectious: 742,364,   dead: 351 

[16] Mar 29:   actual: 1,712,306,    official: 171,223,   infectious: 974,457,   dead: 402 

[17] Mar 30:   actual: 2,245,036,    official: 224,496,   infectious: 1,277,152,   dead: 531 

[18] Mar 31:   actual: 2,942,175,    official: 294,209,   infectious: 1,674,896,   dead: 702 

[19] Apr  1:   actual: 3,853,355,    official: 385,327,   infectious: 2,195,312,   dead: 926 

[20] Apr  2:   actual: 5,043,118,    official: 504,303,   infectious: 2,877,115,   dead: 1,221 

[21] Apr  3:   actual: 6,593,653,    official: 659,356,   infectious: 3,767,756,   dead: 1,610 

[22] Apr  4:   actual: 8,609,950,    official: 860,985,   infectious: 4,930,755,   dead: 2,121 

[23] Apr  5:   actual: 11,224,079,    official: 1,122,397,   infectious: 6,446,119,   dead: 2,791 

[24] Apr  6:   actual: 14,600,235,    official: 1,460,012,   infectious: 8,416,330,   dead: 3,671 

[25] Apr  7:   actual: 18,938,538,    official: 1,893,842,   infectious: 10,969,948,   dead: 4,828 

[26] Apr  8:   actual: 24,476,639,    official: 2,447,652,   infectious: 14,266,717,   dead: 6,349 

[27] Apr  9:   actual: 31,486,259,    official: 3,148,614,   infectious: 18,500,934,   dead: 8,345 

[28] Apr 10:   actual: 40,261,055,    official: 4,026,093,   infectious: 23,902,813,   dead: 10,967 


RAN OUT OF VENTILATORS
[29] Apr 11:   actual: 51,090,570,    official: 5,109,044,   infectious: 30,734,111,   dead: 14,410 

[30] Apr 12:   actual: 64,227,861,    official: 6,422,773,   infectious: 39,313,450,   dead: 18,921 

